MCID;SvcDate;SvcTime;Mileage;Category;Notes
"JAC64";2014-02-15;1.50;;Event;"Weights & Measures"
"TOD12";2014-02-15;1.50;;Event;"Weights & Measures"
"FLA24";2014-02-27;5.00;;Supervisor;""
"FLA24";2014-02-27;2.00;;Committee;""
"DUM40";2014-02-27;5.00;;Supervisor;""
"DUM40";2014-02-27;2.00;;Committee;""
"BRO53";2014-02-27;4.00;;CtrVol;""
"CHR16A";2014-02-27;4.00;;CtrVol;""
"SUT12";2014-02-27;3.00;;CtrVol;""
"AIE30";2014-02-27;8.00;;CtrVol;""
"COR77";2014-02-27;8.00;;OfficeAdmin;""
"COR77";2014-02-27;2.00;;Committee;""
"SCO71";2014-02-27;2.00;;OfficeAdmin;""
"FLA56A";2014-02-27;4.00;;CtrVol;""
"CAM53";2014-02-27;4.00;;CtrVol;""
"CAM53";2014-02-27;2.00;;Committee;""
"HAM23";2014-02-27;3.50;;CtrVol;""
"THA32";2014-02-27;3.00;;CtrVol;""
"CRO13";2014-02-27;2.00;;Committee;""
"DIL82";2014-02-27;2.00;;Committee;""
"ISA16";2014-02-27;1.00;20;Transporter;""
"COR77";2014-02-27;0.50;20;Transporter;""
"FLA24";2014-02-27;4.00;;CtrVol;""
"CRO13";2014-03-01;12.00;;Other;"Board and FR AND PR committees"
"CRO13";2014-03-01;10.00;;Committee;"FR "
"CRO13";2014-03-01;10.00;;Committee;"FR "
"CRO13";2014-02-19;10.00;;Committee;"PR, FR"
"CAM53";2014-03-01;11.50;;Supervisor;""
"AAS47";2014-03-01;4.00;;OfficeAdmin;""
"WRI15";2014-03-01;2.00;;CtrVol;""
"DUM40";2014-03-01;5.00;;CtrVol;""
"PLE17";2014-03-01;4.00;;CtrVol;""
"HOL88";2014-03-01;4.00;;CtrVol;""
"FLA24";2014-03-01;4.00;;CtrVol;""
"MCA10";2014-03-01;4.00;;CtrVol;""
"GON27";2014-03-01;4.00;;CtrVol;""
"PER17";2014-03-01;4.00;;Committee;""
"DAL53";2014-03-01;4.00;;CtrVol;""
"MCA10";2014-03-01;0.50;20;Transporter;""
"ALV34";2014-03-02;11.50;;Supervisor;""
"DIL82";2014-03-02		;9.00;;CtrVol;""
"MEY56";2014-03-02;4.00;;CtrVol;""
"OWE55";2014-03-02;4.00;;CtrVol;""
"GRA10";2014-03-02;4.00;;OfficeAdmin;""
"THA32";2014-03-02;4.00;;CtrVol;""
"TOD12";2014-03-02;4.00;;CtrVol;""
"CRO13";2014-03-02;3.00;;Committee;""
"PER17";2014-03-02;4.00;;Committee;""
"WOL37";2014-03-02;4.50;;CtrVol;""
"WRI16";2014-02-01;6.00;;PhoneVol;""
"FLA56A";2014-02-01;5.00;;PhoneVol;""
"FLA56B";2014-02-01;5.00;;PhoneVol;""
"BOB49";2014-02-01;15.00;;PhoneVol;""
"DUC17A";2014-02-01;16.00;;PhoneVol;""
"KEL92";2014-02-01;13.00;;PhoneVol;""
"UDO16";2014-02-01;10.00;;PhoneVol;""
"CLA23";2014-02-01;10.00;;PhoneVol;""
"PAR63";2014-02-01;9.00;;PhoneVol;""
"WAD81";2014-02-01;8.00;;PhoneVol;""
"GRO10B";2014-02-01;6.00;;PhoneVol;""
"TAL19";2014-02-01;5.00;;PhoneVol;""
"BOS13";2014-02-01;8.00;;PhoneVol;""
"GAM15";2014-02-01;12.00;;PhoneVol;""
"CHE28";2014-02-01;6.00;;PhoneVol;""
"BEC93";2014-02-01;6.00;;PhoneVol;""
"JAC64";2014-02-01;3.00;;PhoneVol;""
"KRA24";2014-02-01;3.00;;PhoneVol;""
"WHI39";2014-02-01;20.00;;PhoneVol;""
"MAR43";2014-02-01;12.00;;PhoneVol;""
"NIC14";2014-02-01;10.00;;PhoneVol;""
"PRI20";2014-02-01;10.00;;PhoneVol;""
"BAK56";2014-02-01;12.00;;PhoneVol;""
"GAR11";2014-02-01;29.00;;PhoneVol;""
"GAR11A";2014-02-01;30.00;;Transporter;""
"TEP19";2014-02-01;12.00;;PhoneVol;""
"FER13A";2014-02-01;8.00;;PhoneVol;""
"LAG88";2014-02-01;6.00;;PhoneVol;""
"BUC95";2014-02-01;10.00;;PhoneVol;""
"STA44";2014-02-01;3.00;;PhoneVol;""
"SIN60";2014-03-02;2.00;80;Transporter;""
"ALV34";2014-03-03;8.00;;Supervisor;""
"ALV34";2014-03-03;2.00;;CtrVol;""
"DIL82";2014-03-03;9.00;;CtrVol;""
"LAR33";2014-03-03;4.50;;CtrVol;""
"CHR16A";2014-03-03;4.50;;CtrVol;""
"DUM40";2014-03-03;8.00;;CtrVol;""
"HER74";2014-03-03;4.50;;CtrVol;""
"REN13";2014-03-03;7.00;;CtrVol;""
"BRO13";2014-03-03;2.50;;CtrVol;""
"COR77";2014-03-03;5.50;;OfficeAdmin;""
"KRI16";2014-03-03;4.50;;CtrVol;""
"WRI15";2014-03-03;8.00;;CtrVol;""
"POO20";2014-03-03;4.00;;CtrVol;""
"GON27";2014-03-03;3.00;;CtrVol;""
"HER74";2014-03-03;2.00;50;Transporter;""
"SIN60";2014-03-03;2.00;70;Transporter;""
"GOE35";2014-03-03;1.00;40;Transporter;""
"DUN13";2014-03-04;5.00;;Supervisor;""
"DUM40";2014-03-04;5.00;;Supervisor;""
"LOW16";2014-03-04;5.00;;CtrVol;""
"LOW16A";2014-03-04;5.00;;CtrVol;""
"AIE30";2014-03-04;8.00;;CtrVol;""
"WRI15";2014-03-04;6.50;;CtrVol;""
"FLA24";2014-03-04;2.50;;CtrVol;""
"CAM53";2014-03-04;2.50;;CtrVol;""
